"","Shom_PJ_011","Shom_PJ_012","Shom_PJ_013","Shom_PJ_014","Shom_PJ_015","Shom_PJ_016","Shom_PJ_017","Shom_PJ_018","Shom_PJ_019"
"Shom_DM18D10_00489",59145,40234,79000,17680,18865,23917,18127,20855,25536
"Shom_DM18D10_00490",11621,9864,18908,4291,4354,6011,4644,5758,9089
"Shom_DM18D10_00491",21057,17390,30860,10518,10751,10572,8990,9966,13916
"Shom_DM18D10_00492",18406,18152,30341,4712,5332,5049,4559,4491,6337
"Shom_DM18D10_00493",3499,6028,4656,2011,2213,1656,2751,2736,3285
"Shom_DM18D10_00494",3081,5959,3970,2749,2763,1759,3985,3545,3436
"Shom_DM18D10_00495",22333,34313,24549,27333,25864,21689,30054,28129,33354
"Shom_DM18D10_00496",37896,27909,49633,34184,32713,27907,30142,35296,36719
"Shom_DM18D10_00497",25063,12730,27434,29716,27355,42629,28300,28590,29926
"Shom_DM18D10_00498",17208,15177,25686,7037,7373,8843,6028,6298,9129
"Shom_DM18D10_00499",6084,7602,8721,2484,3270,3239,1949,2081,3332
"Shom_DM18D10_00500",36241,33489,49556,13995,15408,17029,15963,16815,21525
"Shom_DM18D10_00501",6543,5733,8876,2932,3034,2953,3391,3334,4038
"Shom_DM18D10_00502",38653,27978,49974,15780,12037,9415,38176,27634,52019
"Shom_DM18D10_00503",8507,6181,10136,5900,4468,2565,9224,6722,12465
"Shom_DM18D10_00504",8289,6410,9602,7550,5570,2597,9260,5959,13045
"Shom_DM18D10_00505",6505,4208,8110,5958,4694,2132,6484,5078,9574
"Shom_DM18D10_00506",56367,48305,103271,9601,9291,11042,19076,17437,23069
"Shom_DM18D10_00507",145635,125381,235858,32398,28844,34603,60164,48757,62428
"Shom_DM18D10_00508",6928,6184,11676,1369,1313,1621,2013,2059,2938
"Shom_DM18D10_00509",17439,17176,30659,5000,5355,5497,5931,5268,8619
"Shom_DM18D10_00510",13988,11916,22723,4377,4364,4057,5391,4250,6272
