"","Shom_PJ_020","Shom_PJ_021","Shom_PJ_022","Shom_PJ_023","Shom_PJ_024","Shom_PJ_025","Shom_PJ_026","Shom_PJ_027","Shom_PJ_028"
"Shom_DM21B05_02069",146176,115984,112893,78800,72550,67293,93199,85845,67491
"Shom_DM21B05_02070",3882,3205,2689,3858,3528,3558,3406,4391,2992
"Shom_DM21B05_02071",18743,14604,12431,16623,14802,15365,12997,15883,12673
"Shom_DM21B05_02072",20425,15854,15535,13358,12786,11748,10658,12995,11698
"Shom_DM21B05_02073",59850,44347,35193,61398,58695,63399,74875,70575,47664
"Shom_DM21B05_02074",7075,5178,5141,6126,5970,4626,2951,3118,3930
"Shom_DM21B05_02075",20429,16064,15561,17359,16877,14291,8692,9946,12507
"Shom_DM21B05_02076",47233,35650,34381,36305,35070,29921,19474,21642,26276
"Shom_DM21B05_02077",28343,21363,21194,21706,21127,17987,17344,16597,14895
"Shom_DM21B05_02078",9057,7188,6261,2329,2173,1701,2470,2687,2138
"Shom_DM21B05_02079",8165,6768,5772,2648,2601,1988,2832,2749,2182
"Shom_DM21B05_02080",4285,3317,2780,1721,1551,1197,2475,2292,1132
"Shom_DM21B05_02081",105087,82557,52911,125431,113713,130508,207496,234757,110487
"Shom_DM21B05_02082",36874,28946,29957,23342,23438,20557,18254,20025,20589
"Shom_DM21B05_02083",15184,11621,13381,6841,7658,5983,11859,6446,6451
"Shom_DM21B05_02084",19636,16704,12884,18062,16624,15276,13747,13102,9684
"Shom_DM21B05_02085",33819,27988,22617,28560,26518,24751,21388,22756,17289
"Shom_DM21B05_02086",23132,18076,16314,19249,17349,18424,19658,18784,12687
"Shom_DM21B05_02087",24350,18534,15566,20022,18463,19350,19382,18292,13859
"Shom_DM21B05_02088",47727,37102,31171,38257,35541,39539,32128,28588,26837
"Shom_DM21B05_02089",711,532,444,595,530,414,415,473,358
"Shom_DM21B05_02090",299,253,185,236,241,174,169,202,138
"Shom_DM21B05_02091",126,87,84,106,106,75,111,155,79
"Shom_DM21B05_02092",121,92,88,130,137,93,101,141,85
"Shom_DM21B05_02093",127,109,91,111,114,63,67,83,101
"Shom_DM21B05_02094",10922,9299,8934,9042,8926,7089,10541,11480,7772
"Shom_DM21B05_02095",70330,55179,54850,69501,64593,60380,42897,65609,75895
"Shom_DM21B05_02096",124265,96769,99524,121471,111389,100427,60321,94266,131791
"Shom_DM21B05_02097",110967,84013,88383,107186,98195,90291,51084,73995,111321
"Shom_DM21B05_02098",15593,12582,12099,10856,10193,8864,13231,11096,6961
"Shom_DM21B05_02099",10737,8580,8723,9141,8631,7748,12745,11687,7872
"Shom_DM21B05_02100",3487,2964,2573,2597,2444,1927,1877,2085,1658
"Shom_DM21B05_02101",36598,28040,25815,31630,29034,31609,19023,22811,26253
"Shom_DM21B05_02102",84137,66669,67406,53293,50373,50998,60580,57456,48828
"Shom_DM21B05_02103",9430,7167,5869,7579,7313,3523,2728,3749,5456
"Shom_DM21B05_02104",28787,21029,19151,21371,21241,12207,9075,10273,16336
"Shom_DM21B05_02105",11749,8963,8342,6951,6803,4924,3003,3510,6327
"Shom_DM21B05_02106",15373,11750,11897,9512,9165,7135,6681,7742,8367
"Shom_DM21B05_02107",39049,29601,29705,21617,20356,17004,16181,18560,19618
"Shom_DM21B05_02108",7405,6031,6133,4013,4281,3813,3885,4091,3658
"Shom_DM21B05_02109",26642,19951,19983,12967,12539,10723,12757,13281,11893
"Shom_DM21B05_02110",19003,16532,14513,16028,15478,13208,10250,12748,11697
"Shom_DM21B05_02111",48717,39639,34832,36413,34382,31787,24622,31667,26433
"Shom_DM21B05_02112",18638,14033,15816,9363,9485,7183,3653,4165,9095
"Shom_DM21B05_02113",24929,18937,20719,11667,11434,9925,5541,5891,11197
"Shom_DM21B05_02114",32253,24564,27010,15557,15484,13894,9103,9944,14970
"Shom_DM21B05_02115",50576,37385,39879,23454,22430,21590,18172,18393,22158
"Shom_DM21B05_02116",23641,18515,17873,16320,15261,14156,14569,15146,12067
"Shom_DM21B05_02117",45447,36226,34848,28899,26565,22472,25803,29145,22034
"Shom_DM21B05_02118",8002,6546,6799,7205,7174,5462,2754,3690,6146
"Shom_DM21B05_02119",164620,133966,126279,90200,83820,82761,50216,65762,69485
"Shom_DM21B05_02120",93700,76049,63399,193446,175483,209513,168151,175865,127570
"Shom_DM21B05_02121",17348,13780,15020,14640,15243,8808,12440,12856,10473
"Shom_DM21B05_02122",47204,39611,37161,43871,44357,31318,45428,59919,36196
"Shom_DM21B05_02123",9992,7757,7995,7474,7400,5809,6523,7507,7305
"Shom_DM21B05_02124",4837,4043,3565,3798,3435,2507,2463,2988,2723
"Shom_DM21B05_02125",2975,2470,2685,2560,2628,1502,2354,2791,2017
"Shom_DM21B05_02126",8778,7227,7340,5829,5548,5453,7482,8215,5897
"Shom_DM21B05_02127",13352,10627,9541,10957,9960,8921,8902,11270,7687
"Shom_DM21B05_02128",12415,10198,9591,10818,9918,8362,12588,10954,6400
"Shom_DM21B05_02129",7998,6193,5558,9406,8505,6053,7773,8423,5300
"Shom_DM21B05_02130",1290,1006,1011,955,883,765,1168,1145,788
"Shom_DM21B05_02131",7367,6039,5938,5734,5582,4850,6057,6527,4897
"Shom_DM21B05_02132",2337,1888,1866,1609,1707,1524,2947,2775,1519
"Shom_DM21B05_02133",14861,11535,11627,9108,9351,7938,9679,10259,8143
"Shom_DM21B05_02134",38357,29669,26006,33840,32140,29352,38804,35099,22584
"Shom_DM21B05_02135",34206,26823,24965,26239,24894,18584,17063,17246,17433
"Shom_DM21B05_02136",9119,7236,7862,6852,6681,5044,6389,5648,6481
"Shom_DM21B05_02137",4199,3485,3353,2949,3292,3016,8326,10516,3810
"Shom_DM21B05_02138",2161,1956,1591,1919,1923,1359,1048,1338,1217
"Shom_DM21B05_02139",10062,8034,7462,8741,8577,6301,4172,5540,6020
"Shom_DM21B05_02140",600681,468466,338248,565322,498112,514694,420696,515566,323065
"Shom_DM21B05_02141",34713,27525,27944,14867,14833,13897,16665,16570,14238
"Shom_DM21B05_02142",12219,9886,11079,7860,7450,6654,8073,7504,7905
