"","Scap_PJ_001","Scap_PJ_002","Scap_PJ_003","Scap_PJ_004","Scap_PJ_005","Scap_PJ_006","Scap_PJ_007","Scap_PJ_008","Scap_PJ_009"
"Scap_DM21G11_01246",19460,22237,27337,12935,11020,18356,12779,15213,14591
"Scap_DM21G11_01247",15356,16478,18210,10298,7230,11295,7408,6819,6512
"Scap_DM21G11_01248",15411,15106,16113,17341,11508,18302,10673,9705,8777
"Scap_DM21G11_01249",37302,39632,42812,41319,34382,59336,32392,34907,36219
"Scap_DM21G11_01250",327,320,390,277,205,320,211,189,210
"Scap_DM21G11_01251",10476,10509,10673,3870,2949,4918,3552,3369,3075
"Scap_DM21G11_01252",1286,1320,1479,940,864,1471,823,935,1174
"Scap_DM21G11_01253",8722,9910,10944,4080,3159,5450,3999,4268,4280
"Scap_DM21G11_01254",46028,53254,56222,11249,8083,11931,11197,10429,10651
"Scap_DM21G11_01255",38243,44371,45722,20902,16645,25472,21926,21488,19945
"Scap_DM21G11_01256",3092,3882,4141,1583,1204,1861,1653,1516,1507
"Scap_DM21G11_01257",107188,111364,120908,77165,62182,94953,79721,83089,87171
"Scap_DM21G11_01258",39985,40914,44345,25576,18335,28246,22632,21977,22092
"Scap_DM21G11_01259",185661,204253,239215,169491,125022,195100,160202,160293,162031
"Scap_DM21G11_01260",24162,26613,34060,22937,16518,26115,19538,20901,21299
"Scap_DM21G11_01261",23197,25340,29369,15334,11170,17730,11612,11366,11707
"Scap_DM21G11_01262",4184,4864,6021,3719,2650,4104,3343,3269,2968
"Scap_DM21G11_01263",33548,41228,52149,33029,24376,39183,28557,28853,27933
"Scap_DM21G11_01264",47458,50163,47322,33203,22555,36588,26757,25428,22722
"Scap_DM21G11_01265",83494,97321,106238,61444,45329,81449,50662,49264,48308
"Scap_DM21G11_01266",34798,37383,41852,46769,29140,52557,29929,27556,24539
"Scap_DM21G11_01267",37731,43445,50537,60116,43006,79001,52810,52654,50063
"Scap_DM21G11_01268",20014,20574,24078,22539,16849,27312,21183,22900,21504
"Scap_DM21G11_01269",17834,18423,21964,20154,15984,22819,17403,17624,16265
"Scap_DM21G11_01270",10894,11696,13581,12630,9883,14024,10688,10184,9271
"Scap_DM21G11_01271",3441,3401,3775,3203,2145,3671,2335,2272,2118
"Scap_DM21G11_01272",17376,18026,20915,16141,11122,17888,12881,12153,11779
"Scap_DM21G11_01273",6730,7039,8321,6817,5041,8280,6010,5744,5815
"Scap_DM21G11_01274",104267,131014,137826,46384,35959,57637,41986,37928,36351
"Scap_DM21G11_01275",7922,8365,9194,8410,5580,9442,5946,5993,5337
"Scap_DM21G11_01276",17456,19233,21969,20898,15833,25630,16273,16519,14634
"Scap_DM21G11_01277",22386,26138,31938,21775,17603,26025,18162,18519,15566
"Scap_DM21G11_01278",51628,57849,64292,39156,28355,46256,35834,35621,32835
"Scap_DM21G11_01279",3554,4537,5678,2474,1822,3053,2708,2827,2737
"Scap_DM21G11_01280",11923,14410,18953,9695,7783,12509,10116,11156,10244
"Scap_DM21G11_01281",14784,17879,25041,14865,12065,18083,15254,15594,15148
"Scap_DM21G11_01282",5948,7059,8217,5948,4092,6411,4654,4455,4291
