"","Sepi_PJ_019","Sepi_PJ_020","Sepi_PJ_021","Sepi_PJ_022","Sepi_PJ_023","Sepi_PJ_024","Sepi_PJ_025","Sepi_PJ_026","Sepi_PJ_027"
"Sepi_DM21B07_00179",286,287,267,753,803,965,1133,1045,856
"Sepi_DM21B07_00180",92,127,111,210,234,308,345,316,261
"Sepi_DM21B07_00181",618,644,641,1051,1091,1156,1574,1564,1245
"Sepi_DM21B07_00182",432,362,431,667,682,762,889,873,787
"Sepi_DM21B07_00183",611,531,640,796,915,867,1235,1148,981
"Sepi_DM21B07_00184",15349,12861,10443,51284,54474,51680,37127,34706,28763
"Sepi_DM21B07_00185",39693,30772,33096,188162,154580,171891,164708,147889,124083
"Sepi_DM21B07_00186",20999,14676,16064,98014,92487,102898,85487,76673,63225
"Sepi_DM21B07_00187",6589,5868,5432,2895,4082,4194,4040,4374,3590
"Sepi_DM21B07_00188",580,500,510,353,491,478,582,744,574
"Sepi_DM21B07_00189",41948,31103,34209,15540,22949,20293,27492,30980,25359
"Sepi_DM21B07_00190",604,565,406,637,764,696,989,1045,815
"Sepi_DM21B07_00191",126371,114048,95967,56197,57320,54332,67274,66552,56891
"Sepi_DM21B07_00192",55427,53857,42372,26258,26893,28905,26614,24387,19958
"Sepi_DM21B07_00193",44573,38271,34537,19434,22402,22687,21095,20881,16915
"Sepi_DM21B07_00194",39795,34421,30980,15942,19081,19723,18787,18808,15548
"Sepi_DM21B07_00195",6277,6713,7177,1279,1201,1370,3217,3436,2911
"Sepi_DM21B07_00196",2141,1873,1854,1510,2029,1967,1958,2047,1611
"Sepi_DM21B07_00197",6968,6270,7002,6292,4909,5538,8166,6620,5401
"Sepi_DM21B07_00198",5399,4203,4470,376,448,462,903,1120,874
"Sepi_DM21B07_00199",51186,47719,50829,21774,20617,22760,41413,40341,33961
"Sepi_DM21B07_00200",7144,6072,6401,3771,3959,3862,5030,5218,4277
"Sepi_DM21B07_00201",2464,2319,2561,1835,1733,2043,11859,5833,4895
"Sepi_DM21B07_00202",1423,1317,1494,447,591,631,612,640,548
"Sepi_DM21B07_00203",6501,6167,6644,2419,3152,3110,3137,3234,2874
"Sepi_DM21B07_00204",5956,5396,5823,10305,12011,10861,18898,15874,13464
"Sepi_DM21B07_00205",53436,35295,46020,72601,91059,89384,99072,118900,98666
"Sepi_DM21B07_00206",6166,5777,6531,10873,12114,13846,14448,14363,11786
"Sepi_DM21B07_00207",2465,2063,2494,3073,3827,4166,4499,4621,3852
"Sepi_DM21B07_00208",5668,4700,5317,5098,5948,6083,7138,7673,6276
"Sepi_DM21B07_00209",1301,1197,1250,2677,2848,3026,3413,3127,2446
"Sepi_DM21B07_00210",9824,9485,7613,12415,12575,12866,14528,14185,11842
"Sepi_DM21B07_00211",147,158,101,95908,107999,90532,67402,57000,46222
"Sepi_DM21B07_00212",157,175,101,51923,64916,50518,30825,24133,19967
"Sepi_DM21B07_00213",392,507,369,103425,108388,93983,64064,48778,40540
"Sepi_DM21B07_00214",1630,1387,1510,125281,123975,116905,87724,67633,55227
"Sepi_DM21B07_00215",25,21,23,110,139,131,143,120,96
"Sepi_DM21B07_00216",4999,4313,4359,53217,51933,46231,40807,38286,31503
"Sepi_DM21B07_00217",14903,9621,12929,27465,36260,35151,34158,34630,28897
"Sepi_DM21B07_00218",742,655,821,998,1252,1330,1273,1452,1119
"Sepi_DM21B07_00219",904,743,783,1058,1327,1287,1277,1179,1003
"Sepi_DM21B07_00220",1080,1018,1187,513,682,652,1400,1338,1171
"Sepi_DM21B07_00221",8261,8402,6303,7223,9840,8962,6509,6908,5601
"Sepi_DM21B07_00222",12056,11488,10989,18176,25115,24040,26795,30691,25499
"Sepi_DM21B07_00223",39078,18127,14161,29604,49504,55399,48409,72265,60097
"Sepi_DM21B07_00224",1129,1096,1199,782,995,999,1082,1084,874
"Sepi_DM21B07_00225",24382,20532,19888,15375,21335,20147,24714,25779,20746
"Sepi_DM21B07_00226",1669,1413,1378,1124,1445,1391,1383,1583,1303
"Sepi_DM21B07_00227",2816,2699,2624,2712,3626,3541,5491,6234,4930
"Sepi_DM21B07_00228",439,432,382,538,701,563,1500,1501,1327
"Sepi_DM21B07_00229",165,141,144,189,275,234,598,496,432
"Sepi_DM21B07_00230",477,642,416,576,791,760,1486,1315,1162
"Sepi_DM21B07_00231",99,91,67,74,104,124,202,204,138
"Sepi_DM21B07_00232",107,128,75,109,135,111,247,207,212
"Sepi_DM21B07_00233",391,441,381,412,399,416,954,885,732
"Sepi_DM21B07_00234",497,531,518,492,453,519,1022,1046,792
"Sepi_DM21B07_00235",317,324,353,314,349,356,593,545,451
"Sepi_DM21B07_00236",134,142,183,96,97,97,153,193,169
"Sepi_DM21B07_00237",18634,12250,14189,30782,39072,34409,69903,113688,96104
"Sepi_DM21B07_00238",11314,9313,9710,10920,13391,12037,17616,19457,16025
"Sepi_DM21B07_00240",1486,1214,1553,425,494,485,708,729,556
"Sepi_DM21B07_00241",5791,4680,5752,6588,6947,6915,8638,7832,6713
"Sepi_DM21B07_00242",1174,1343,1033,2045,2213,2111,3146,2664,2168
"Sepi_DM21B07_00243",2145,1522,1700,14510,18330,17274,13318,13102,10794
"Sepi_DM21B07_00244",436,408,330,2486,2882,2853,2380,2291,1877
"Sepi_DM21B07_00245",504,571,415,2359,2723,2467,2086,1936,1612
"Sepi_DM21B07_00246",380,382,264,1087,1408,1339,853,864,664
"Sepi_DM21B07_00247",2730,2570,2222,3107,3632,3278,3798,3923,3318
"Sepi_DM21B07_00248",26913,31220,25120,117394,112612,123383,170161,172007,145604
"Sepi_DM21B07_00249",804,882,758,1691,1911,1980,2561,2744,2161
"Sepi_DM21B07_00250",1813,1974,1492,2913,3207,3460,3899,3919,3238
"Sepi_DM21B07_00251",3978,4278,3178,4985,5489,5228,6810,6569,5631
"Sepi_DM21B07_00252",1009,1178,736,995,1024,994,1534,1431,1181
"Sepi_DM21B07_00253",5372,5929,4234,5263,5494,5270,6980,7081,5777
"Sepi_DM21B07_00254",5935,5749,5576,5664,6018,6107,8273,8320,6791
"Sepi_DM21B07_00255",5277,5138,5540,4757,5465,5466,6658,6943,5507
"Sepi_DM21B07_00256",1025,802,953,777,1051,1129,834,806,626
"Sepi_DM21B07_00257",758,576,687,425,630,630,454,461,338
"Sepi_DM21B07_00258",6148,5241,5209,3353,4892,4518,5813,5941,4796
"Sepi_DM21B07_00259",7324,6702,7334,2080,2496,2719,3434,3863,3162
"Sepi_DM21B07_00260",5983,6157,6655,4687,5088,5234,6267,6294,5208
"Sepi_DM21B07_00261",5595,5986,6401,5329,5852,6360,5842,6113,5088
"Sepi_DM21B07_00262",226,223,230,154,280,228,295,281,243
"Sepi_DM21B07_00263",678,577,639,220,316,338,327,333,281
"Sepi_DM21B07_00264",4823,3321,3532,5126,6052,5352,7280,7963,6619
"Sepi_DM21B07_00265",11223,8383,9776,1100,1818,1788,2231,2779,2332
"Sepi_DM21B07_00266",40294,27066,33578,27343,36693,34613,120509,144604,119638
"Sepi_DM21B07_00267",26952,16618,21674,31142,34687,31591,133068,138367,118449
"Sepi_DM21B07_00268",49512,44871,53969,39962,41959,44804,72212,74810,63423
"Sepi_DM21B07_00269",419,312,338,1954,1825,2176,3050,2878,2485
"Sepi_DM21B07_00270",360,231,286,2593,2326,2775,3369,3048,2459
"Sepi_DM21B07_00271",7985,6893,6484,4173,5506,4717,7994,8671,7186
"Sepi_DM21B07_00272",2784,2179,1912,953,1507,1424,2206,2092,1713
"Sepi_DM21B07_00273",135643,94883,93572,43315,65134,65334,47795,50125,40827
"Sepi_DM21B07_00274",508,405,487,329,416,414,445,430,328
"Sepi_DM21B07_00275",9574,7407,8947,6409,8683,7739,8716,8879,7388
"Sepi_DM21B07_00276",2517,1893,2075,2817,3552,3228,2593,2864,2510
"Sepi_DM21B07_00277",19138,15154,16339,14667,18402,16487,19474,22207,19050
"Sepi_DM21B07_00278",9195,6062,8259,5800,6603,6067,7945,8706,7305
"Sepi_DM21B07_00279",46223,25682,38759,6413,8626,8773,4278,4849,4051
"Sepi_DM21B07_00280",5050,3628,3991,3030,3507,3249,2900,3044,2667
"Sepi_DM21B07_00281",9254,7067,9037,17258,17320,18470,16548,15478,13083
"Sepi_DM21B07_00282",1194,1052,1330,2326,2416,2470,2461,2052,1764
"Sepi_DM21B07_00283",4547,3664,4538,8949,8283,9778,7973,7096,5801
"Sepi_DM21B07_00284",4391,3539,4402,7047,7237,7861,6584,5962,4858
"Sepi_DM21B07_00285",8420,6874,7354,8825,9712,10175,10442,10315,8672
"Sepi_DM21B07_00286",10359,7050,9280,5851,7823,7363,8519,9319,7776
"Sepi_DM21B07_00287",28535,20037,24209,21048,27494,26338,23248,24869,21475
"Sepi_DM21B07_00288",7710,5553,8284,9634,11365,11457,24068,26970,22664
"Sepi_DM21B07_00289",15149,12807,12933,6725,9405,8204,10434,11481,9553
"Sepi_DM21B07_00290",194,158,214,62,92,101,105,103,89
"Sepi_DM21B07_00291",84,62,89,26,37,37,56,62,50
"Sepi_DM21B07_00292",141,132,149,55,94,78,122,123,108
"Sepi_DM21B07_00293",1427,1294,1542,7915,7372,8012,9601,9269,7941
"Sepi_DM21B07_00294",22827,16785,16848,9642,14077,12034,18705,17537,14225
"Sepi_DM21B07_00295",8838,6959,7880,2080,2432,2233,3704,4406,3714
"Sepi_DM21B07_00296",3663,3071,3973,6558,6061,6213,5425,5197,4431
"Sepi_DM21B07_00297",729,567,680,957,1038,965,991,993,820
"Sepi_DM21B07_00298",4881,3793,4655,3478,4546,4239,73951,17682,14741
"Sepi_DM21B07_00299",4008,2935,3060,2913,3986,3799,2965,3032,2582
"Sepi_DM21B07_00300",11394,8300,9200,8107,10400,10279,8615,9041,7246
"Sepi_DM21B07_00301",26866,20420,21536,14182,17390,16432,16239,16735,14207
"Sepi_DM21B07_00302",3413,2729,3298,2290,2768,2613,2730,2679,2235
"Sepi_DM21B07_00303",6994,5998,6497,3654,4285,4393,5578,5748,4763
"Sepi_DM21B07_00304",83483,69262,63806,76249,84100,76708,84381,87309,73530
"Sepi_DM21B07_00305",2289,2108,1960,2306,2631,2339,2837,2602,2125
"Sepi_DM21B07_00306",6998,7888,6026,3468,4084,4028,4418,4689,3992
"Sepi_DM21B07_00307",7637,7793,7457,4105,4382,4710,5542,5794,4873
"Sepi_DM21B07_00308",8537,7406,8194,11124,13195,13191,13988,14723,12367
"Sepi_DM21B07_00309",12392,10269,11030,11661,13890,13580,15513,16710,14128
"Sepi_DM21B07_00310",700,528,715,859,1002,1091,1265,1379,996
"Sepi_DM21B07_00311",3737,2539,3372,4775,5611,5359,5852,6182,4883
"Sepi_DM21B07_00312",3648,2524,2986,3561,3775,3625,4447,4832,4148
"Sepi_DM21B07_00313",3454,2667,2999,14081,25146,24012,22122,28912,24482
"Sepi_DM21B07_00314",7584,7543,5926,28885,48732,50505,39310,48195,39268
"Sepi_DM21B07_00315",6327,6980,4460,23354,40491,35987,28447,35755,29545
"Sepi_DM21B07_00316",1465,1581,1009,5526,11430,9472,7155,8890,7167
"Sepi_DM21B07_00317",1629,1774,1112,5489,11088,8530,7843,9888,7812
"Sepi_DM21B07_00318",1153,1115,774,5440,10773,8247,7511,10044,8197
"Sepi_DM21B07_00319",1864,1830,1839,13955,23748,23467,19525,23054,18959
"Sepi_DM21B07_00320",2645,2597,2568,16644,26993,25445,24701,29617,24467
"Sepi_DM21B07_00321",1003,820,783,1552,1690,1499,1261,1313,1081
"Sepi_DM21B07_00322",102635,82805,104240,162908,160069,161441,97325,89570,75044
"Sepi_DM21B07_00323",20670,16884,21493,31560,30170,34200,18291,16344,13562
"Sepi_DM21B07_00324",59712,58698,63104,25137,23490,29189,23722,22638,18595
"Sepi_DM21B07_00325",15340,15525,18732,14949,14870,17752,34700,39842,33585
"Sepi_DM21B07_00326",2188,1764,2245,1387,1933,1743,1540,1586,1199
"Sepi_DM21B07_00327",3164,3538,3201,18706,20650,21306,13782,13489,10965
"Sepi_DM21B07_00328",10549,9745,10668,55606,57994,56083,43049,45841,38026
"Sepi_DM21B07_00329",2579,2559,2172,2378,3043,2827,2565,2574,2179
"Sepi_DM21B07_00330",6435,5089,5567,4551,5859,5548,5681,5763,4956
"Sepi_DM21B07_00331",3349,2773,2914,2573,3217,3139,2868,2989,2562
"Sepi_DM21B07_00332",9740,8021,8026,6644,8320,7763,8034,8374,7011
"Sepi_DM21B07_00333",21105,17705,22172,10909,13529,14835,16195,16018,13347
"Sepi_DM21B07_00334",2116,2052,2181,366256,209280,242777,142509,129312,106958
"Sepi_DM21B07_00335",8828,7360,8722,181425,102388,105866,82271,80202,68182
"Sepi_DM21B07_00336",390650,280372,369121,405020,389504,374666,457381,521466,437077
"Sepi_DM21B07_00337",1520,1005,1337,2440,3162,3047,2787,3139,2681
"Sepi_DM21B07_00338",335498,265298,263537,180361,253967,244242,219939,232477,191274
"Sepi_DM21B07_00339",27183,18192,23229,35184,34717,31254,31128,29304,24480
"Sepi_DM21B07_00340",15,21,12,10,16,23,16,14,17
"Sepi_DM21B07_00341",801,657,625,604,854,833,1571,998,831
"Sepi_DM21B07_00342",9212,8137,7334,31895,39184,37787,47076,53727,44670
"Sepi_DM21B07_00343",755,517,584,844,869,903,780,860,732
