ID,category,SCNIH004,SCNIH009,SCNIH016,NIHLM087,SENIH040,SENIH047,SHNIH025,SHNIH027,SHNIH030
S0299,genus_core,1,3,3,1,3,1,1,1,3
S0301,genus_core,1,1,1,3,1,3,1,1,1
S0302,genus_core,1,3,3,3,1,3,3,1,3
S0303,genus_core,2,1,2,2,2,2,1,1,1
S0304,genus_core,2,1,2,2,2,2,1,1,1
S0305,genus_core,2,1,2,2,2,2,1,1,1
S0306,genus_core,2,1,2,2,2,2,1,1,1
S0307,genus_core,2,1,2,2,2,2,1,1,2
S0308,genus_core,2,1,2,2,2,2,1,1,2
S0309,genus_core,2,1,2,2,2,1,1,1,2
S0310,genus_core,1,1,3,3,3,3,3,1,3
S0311,genus_core,1,1,1,1,1,3,1,1,1
S0312,genus_core,1,2,2,2,2,2,2,1,1
S0313,genus_core,1,2,2,2,2,2,2,1,1
S0314,genus_core,1,2,2,2,2,2,2,1,1
S0315,genus_core,2,1,2,2,1,2,2,1,1
S0316,genus_core,1,1,1,1,1,2,1,1,1
S0318,genus_core,1,1,1,1,1,1,1,1,3
S0320,genus_core,1,1,1,1,1,1,1,1,3
S0321,genus_core,1,1,3,3,1,1,1,1,1
S0322,genus_core,1,1,3,3,1,1,1,1,1
S0323,genus_core,2,2,2,2,2,2,2,1,2
S0325,genus_core,1,1,1,1,1,1,3,1,1
S0326,genus_core,1,1,1,3,1,3,1,1,1
S0327,genus_core,1,1,3,3,3,3,1,1,1
S0329,genus_core,1,1,1,1,1,1,1,1,2
S0330,genus_core,1,1,1,1,2,1,1,3,3
S0331,genus_core,3,1,3,3,3,1,3,3,3
S0332,genus_core,1,1,1,1,1,1,3,3,3
S0333,species_restricted_core,2,2,2,2,2,2,0,0,0
S0334,genus_core,1,1,1,1,1,1,1,1,2
S0335,genus_core,1,1,1,1,2,1,1,1,2
S0336,genus_core,1,1,1,1,2,1,1,1,1
S0337,genus_core,1,1,1,1,2,1,1,1,1
S0339,genus_core,1,3,1,3,3,3,3,1,2
S0340,genus_core,2,1,2,1,1,1,2,1,2
S0341,genus_core,2,1,2,1,1,1,1,1,2
S0345,genus_core,1,1,1,1,1,1,1,1,2
S0350,genus_core,1,1,3,3,3,1,1,1,3
S0356,genus_core,1,1,1,3,1,1,1,1,3
S0358,genus_core,3,1,1,1,1,1,1,1,3
S0359,genus_core,3,1,1,1,1,1,1,1,3
S0361,genus_core,1,1,3,3,1,3,1,1,3
