"","Scap_PJ_010","Scap_PJ_011","Scap_PJ_012","Scap_PJ_013","Scap_PJ_014","Scap_PJ_015","Scap_PJ_016","Scap_PJ_017","Scap_PJ_018"
"Scap_LM7D7_a_00103",373,500,447,272,314,241,236,375,282
"Scap_LM7D7_a_00104",838,978,842,426,585,481,508,747,542
"Scap_LM7D7_a_00105",17,26,10,9,17,19,14,23,16
"Scap_LM7D7_a_00106",2168,2134,1275,1791,2154,1744,1482,2135,1517
"Scap_LM7D7_a_00107",79,119,110,79,78,60,84,129,110
"Scap_LM7D7_a_00108",182,275,245,247,314,279,233,326,297
"Scap_LM7D7_a_00109",79,109,101,64,70,54,79,95,102
"Scap_LM7D7_a_00110",219,287,212,258,285,246,299,373,320
"Scap_LM7D7_a_00111",63,68,70,87,77,83,86,136,88
"Scap_LM7D7_a_00112",380,496,456,594,764,701,587,781,641
"Scap_LM7D7_a_00113",150,178,136,177,222,181,215,279,211
"Scap_LM7D7_a_00114",887,1065,815,806,1258,974,924,1196,969
"Scap_LM7D7_a_00115",3548,5083,4065,2497,3316,2367,4033,8856,4698
"Scap_LM7D7_a_00116",22720,24327,22902,8744,13163,10627,11020,10466,8569
"Scap_LM7D7_a_00117",17762,18728,18885,14136,12030,11152,6787,3447,6210
"Scap_LM7D7_a_00118",20725,23865,29722,12267,13851,12978,9198,2618,6988
"Scap_LM7D7_a_00119",21152,22356,22384,10104,12733,11219,10588,2733,7842
"Scap_LM7D7_a_00120",730,800,758,742,819,778,888,1026,1028
"Scap_LM7D7_a_00121",7400,7396,5819,7388,8597,8638,9017,9570,10375
"Scap_LM7D7_a_00122",1827,2405,2109,4650,5843,4864,4343,5933,6990
"Scap_LM7D7_a_00123",140,230,140,151,180,181,282,484,407
"Scap_LM7D7_a_00124",2407,2776,1809,3149,3743,3653,4401,5783,5999
"Scap_LM7D7_a_00125",495,586,442,737,1008,1027,832,1304,1255
"Scap_LM7D7_a_00126",3848,4846,4319,6024,7549,7965,6918,10644,9636
"Scap_LM7D7_a_00127",3961,4985,3783,4431,5621,5660,6656,10744,9321
"Scap_LM7D7_a_00128",1282,1468,1433,1187,1950,1620,1465,2087,1679
"Scap_LM7D7_a_00129",117,86,107,52,41,42,75,92,81
"Scap_LM7D7_a_00130",2212,1897,1857,1744,2242,2028,2174,2275,1697
"Scap_LM7D7_a_00131",4020,3803,3350,2272,2971,2731,2455,2562,2131
"Scap_LM7D7_a_00132",38450,35536,35256,16210,15748,16494,14169,11007,12002
"Scap_LM7D7_a_00133",4302,3829,3397,1825,1820,1842,1712,1488,1484
"Scap_LM7D7_a_00134",769,827,838,1941,1672,1891,1319,1600,1588
"Scap_LM7D7_a_00135",10015,12632,15153,25644,28775,21907,35634,50113,32271
"Scap_LM7D7_a_00136",5334,7420,6170,11486,15211,13317,14430,19046,16921
"Scap_LM7D7_a_00137",8868,11944,11761,13051,11330,9536,9490,14984,12572
"Scap_LM7D7_a_00138",2116,2390,2024,2278,2855,2603,2748,1588,2360
"Scap_LM7D7_a_00139",2971,3632,3446,4041,4394,4238,5047,4105,5245
"Scap_LM7D7_a_00140",1481,1785,1658,1656,2133,1929,2020,2035,1889
"Scap_LM7D7_a_00141",1641,2579,1589,1039,1386,1343,1249,1417,1336
"Scap_LM7D7_a_00142",49,63,48,71,74,53,216,267,303
"Scap_LM7D7_a_00143",1647,2524,1961,4989,5748,5048,2410,3538,3533
"Scap_LM7D7_a_00144",12002,16166,14475,15125,18393,17558,13121,10275,13119
"Scap_LM7D7_a_00145",1794,2460,2024,2987,3956,3824,1797,1362,1853
"Scap_LM7D7_a_00146",179,199,164,181,235,233,209,163,208
"Scap_LM7D7_a_00147",282,325,244,213,300,269,220,280,268
"Scap_LM7D7_a_00148",629,814,717,754,1001,1003,1221,819,1263
"Scap_LM7D7_a_00149",8531,11785,7670,12723,13793,14870,13088,16978,19108
"Scap_LM7D7_a_00150",3101,3705,3088,2031,2224,2445,2748,2427,2916
"Scap_LM7D7_a_00151",6777,7721,7452,5269,5690,5885,5656,5964,6477
"Scap_LM7D7_a_00152",1036,1420,1005,873,1104,966,1052,1433,961
"Scap_LM7D7_a_00153",10625,14126,9001,5827,8236,6662,9267,15732,8515
"Scap_LM7D7_a_00154",7278,9209,6974,7578,10161,9123,8647,7933,8572
"Scap_LM7D7_a_00155",8307,10439,10573,19021,19910,22773,22126,17930,27270
"Scap_LM7D7_a_00156",2387,3298,2717,3788,4238,4184,7023,6583,7472
"Scap_LM7D7_a_00157",87444,114336,112075,209125,253066,202159,157226,88482,109728
"Scap_LM7D7_a_00158",8766,8757,5882,9575,12551,11661,13181,12905,11938
"Scap_LM7D7_a_00159",3265,3385,2846,3808,3939,3898,5530,5954,5463
"Scap_LM7D7_a_00160",411,411,270,321,378,370,400,347,281
"Scap_LM7D7_a_00161",17260,19711,18363,12280,13957,14493,9895,9710,10895
"Scap_LM7D7_a_00162",3896,4117,3189,2797,3894,3376,3817,3161,3493
"Scap_LM7D7_a_00163",4412,5143,3552,2398,2947,2889,3885,4278,3946
"Scap_LM7D7_a_00164",4129,5862,4984,11742,8892,8857,12031,10925,15992
"Scap_LM7D7_a_00165",459,625,553,944,1018,1173,2097,2142,2426
"Scap_LM7D7_a_00166",111101,107036,114082,227905,206443,250986,273240,202557,233445
"Scap_LM7D7_a_00167",2107,2428,1624,3457,2669,3262,1543,1719,1813
"Scap_LM7D7_a_00168",1061,1384,1012,5866,3646,5043,1848,2140,2116
"Scap_LM7D7_a_00169",174,295,224,1068,654,861,401,441,421
"Scap_LM7D7_a_00170",714,902,763,4257,2613,3556,1281,1716,1589
"Scap_LM7D7_a_00171",9541,12382,7749,3119,6791,5600,4379,2192,3571
"Scap_LM7D7_a_00172",17979,27231,29367,28717,52694,47768,30644,10204,22630
"Scap_LM7D7_a_00173",183,198,191,112,142,110,113,142,111
"Scap_LM7D7_a_00174",2248,2745,1905,1322,1766,1601,1932,2504,1831
"Scap_LM7D7_a_00175",629,716,558,393,466,422,638,731,516
"Scap_LM7D7_a_00176",4728,5159,4984,3908,5309,4325,4304,5337,3595
"Scap_LM7D7_a_00177",4533,4440,3575,3154,3785,3172,3692,5112,3645
"Scap_LM7D7_a_00178",3178,2810,1767,4995,5959,5551,5442,6660,5855
"Scap_LM7D7_a_00179",477,467,393,1155,1078,1046,998,1673,1248
"Scap_LM7D7_a_00180",578,502,443,1343,1337,1318,1211,1627,1362
"Scap_LM7D7_a_00181",825,716,602,1704,1664,1425,1737,2078,1723
"Scap_LM7D7_a_00182",206,308,332,1855,1544,1487,733,605,807
"Scap_LM7D7_a_00183",296,300,208,104,179,153,162,180,128
"Scap_LM7D7_a_00184",54631,60921,60025,133908,115576,139161,139042,62013,97774
"Scap_LM7D7_a_00185",2447,2830,2133,3493,3723,3866,3625,3024,3114
"Scap_LM7D7_a_00186",3169,4246,3756,4563,4553,4598,5309,4500,4820
"Scap_LM7D7_a_00187",2701,3692,3203,6576,6966,6669,6199,5554,6159
"Scap_LM7D7_a_00188",414,560,389,696,692,686,946,839,875
"Scap_LM7D7_a_00189",3492,5073,3954,5874,6322,5942,7308,7067,7260
"Scap_LM7D7_a_00190",2506,3513,2986,3069,3754,3411,4129,4438,4570
"Scap_LM7D7_a_00191",3647,4785,3347,5261,6371,5986,6312,6347,6861
"Scap_LM7D7_a_00192",3786,4756,3895,6449,7158,7315,8426,7854,9449
"Scap_LM7D7_a_00193",13312,16098,15961,4559,7187,5515,2700,4442,3102
"Scap_LM7D7_a_00194",1645,1500,1036,570,721,620,1444,1027,1176
"Scap_LM7D7_a_00195",910,1057,825,468,609,551,965,873,976
"Scap_LM7D7_a_00196",10653,15338,11983,8085,12154,10242,13421,11008,12900
"Scap_LM7D7_a_00197",29551,40474,36063,28612,47248,38591,37504,32253,37298
"Scap_LM7D7_a_00198",1505,1959,1669,2026,2378,2181,1506,2146,1606
"Scap_LM7D7_a_00199",1358,1811,1260,1290,1530,1426,1574,1870,1560
"Scap_LM7D7_a_00200",2225,3216,2665,4582,5426,4559,2439,3596,2575
"Scap_LM7D7_a_00201",2506,3506,4181,6107,7060,6248,2681,4096,3032
"Scap_LM7D7_a_00202",6755,8163,6171,6577,9270,8098,4807,6547,5640
"Scap_LM7D7_a_00203",34362,53157,57767,24270,26730,25716,36489,40362,46388
"Scap_LM7D7_a_00204",77452,124746,132505,78940,87032,79871,100072,110655,136823
"Scap_LM7D7_a_00205",1647,2043,1318,1354,1749,1642,1919,794,1849
"Scap_LM7D7_a_00206",1898,2290,2205,2061,2669,2582,2147,2523,2580
"Scap_LM7D7_a_00207",386,467,434,466,581,555,534,570,585
"Scap_LM7D7_a_00208",187,243,195,108,125,100,140,194,123
"Scap_LM7D7_a_00209",471,651,553,435,552,490,504,693,539
"Scap_LM7D7_a_00210",1679,2105,1880,1442,2166,1733,1606,2179,1653
"Scap_LM7D7_a_00211",509,607,508,305,442,327,441,659,482
"Scap_LM7D7_a_00212",875,803,693,864,1288,1110,1858,2791,2397
"Scap_LM7D7_a_00213",21683,23988,19707,33702,40864,39479,101822,44583,73570
"Scap_LM7D7_a_00214",938,1188,1035,1384,1625,1651,3475,2094,2545
"Scap_LM7D7_a_00215",31757,35996,34165,49638,55771,59876,88296,49999,79225
"Scap_LM7D7_a_00216",13146,14590,15687,28920,31583,30086,33883,41437,35725
"Scap_LM7D7_a_00217",15886,12447,13761,1336,2057,1650,2052,1913,1983
"Scap_LM7D7_a_00218",20636,18845,24156,2360,3609,2646,3084,2665,3475
"Scap_LM7D7_a_00219",5975,9304,10170,15172,20395,17361,15335,17297,19082
"Scap_LM7D7_a_00220",1735,2508,1947,4666,5226,5033,5996,6620,7135
"Scap_LM7D7_a_00221",25309,33801,28551,24833,31185,27844,41226,39286,39808
"Scap_LM7D7_a_00222",8238,10817,10229,8650,10868,9764,10252,9996,10029
"Scap_LM7D7_a_00223",4117,5937,4938,5702,7655,7251,5228,5179,5391
"Scap_LM7D7_a_00224",4723,6517,3639,4410,6059,5368,5337,5103,5135
"Scap_LM7D7_a_00225",685,719,561,238,311,285,328,403,313
"Scap_LM7D7_a_00226",2452,2695,1480,1297,2073,1816,1222,1507,1309
"Scap_LM7D7_a_00227",803,731,554,419,602,533,386,475,338
"Scap_LM7D7_a_00228",268,321,304,205,298,271,181,277,209
"Scap_LM7D7_a_00229",1535,1419,1105,613,909,767,807,426,663
"Scap_LM7D7_a_00230",4112,4013,4462,1772,2733,2373,2114,2292,2027
"Scap_LM7D7_a_00231",7152,7610,5811,5982,8076,7870,4823,4441,4594
"Scap_LM7D7_a_00232",28053,27880,26235,36018,52083,48107,20695,17133,18327
"Scap_LM7D7_a_00233",43103,47013,40147,110077,172364,158457,77290,25879,43286
"Scap_LM7D7_a_00234",29511,31434,22310,64149,98552,92353,50500,18779,28138
"Scap_LM7D7_a_00235",16876,20828,16608,24651,26043,27861,31932,32030,41309
"Scap_LM7D7_a_00236",2915,3370,2170,6083,6767,6305,12677,8220,13442
"Scap_LM7D7_a_00237",1724,1663,1600,3436,5957,4196,935,948,1061
"Scap_LM7D7_a_00238",77,76,72,86,109,106,133,85,89
"Scap_LM7D7_a_00239",172,184,165,185,248,229,242,168,202
"Scap_LM7D7_a_00240",1473,1459,1110,760,1005,853,745,635,637
"Scap_LM7D7_a_00241",10973,6539,7820,125793,198331,175385,63069,8538,23787
"Scap_LM7D7_a_00242",7023,4407,4938,104704,148793,137860,32684,7014,14725
"Scap_LM7D7_a_00243",5461,4001,5451,101682,112876,107874,21337,6012,9745
"Scap_LM7D7_a_00244",2846,2234,1971,24466,26794,24434,8298,2736,3709
"Scap_LM7D7_a_00245",4197,3198,2586,36293,45657,43229,10893,3634,4996
"Scap_LM7D7_a_00246",66117,45987,47361,41242,74626,55515,11162,12340,10168
"Scap_LM7D7_a_00247",5677,6410,6220,3892,5223,4561,4489,3527,5267
"Scap_LM7D7_a_00248",8154,9272,7970,6255,8255,7235,8060,7959,7141
"Scap_LM7D7_a_00249",4005,4472,3293,3500,4691,4150,3937,3635,4419
"Scap_LM7D7_a_00250",784,870,802,909,1263,1115,849,993,794
"Scap_LM7D7_a_00251",784,922,625,1155,1640,1418,861,1058,885
"Scap_LM7D7_a_00252",7544,12819,9697,14908,15460,17584,17851,19029,23257
"Scap_LM7D7_a_00253",5293,6396,5924,16257,18607,19358,16504,23927,26921
"Scap_LM7D7_a_00254",10865,12174,7784,17192,23769,20488,14997,16191,16008
"Scap_LM7D7_a_00255",31,29,12,11,17,16,18,22,23
"Scap_LM7D7_a_00256",4556,7516,6267,28438,32909,30916,21601,23990,24808
"Scap_LM7D7_a_00257",1169,1277,989,2095,3114,2470,1394,2507,1830
"Scap_LM7D7_a_00258",1471,2176,1780,1278,1391,1226,776,625,543
"Scap_LM7D7_a_00259",1806,1599,3122,1046,1429,1242,1556,1002,1226
"Scap_LM7D7_a_00260",11652,16806,13083,40043,32186,32194,36920,33890,50725
"Scap_LM7D7_a_00261",206,260,189,311,282,266,191,242,266
"Scap_LM7D7_a_00262",2139,2271,808,570,677,612,1302,887,1107
"Scap_LM7D7_a_00263",15054,17251,13894,7881,10726,9524,11725,8053,10170
"Scap_LM7D7_a_00264",25520,31100,23036,14338,20192,17693,20160,14383,17911
"Scap_LM7D7_a_00265",2726,3311,2736,1554,2320,1922,1502,1565,1707
"Scap_LM7D7_a_00266",7274,8175,6994,4298,5839,5320,4699,5525,5088
"Scap_LM7D7_a_00267",142298,151067,99137,401621,395832,487728,322067,271426,401382
"Scap_LM7D7_a_00268",1040,1381,1202,1080,1426,1199,1419,2323,1673
"Scap_LM7D7_a_00269",864,1216,1245,1185,1357,1040,1020,1912,1275
"Scap_LM7D7_a_00270",1062,1527,1387,1289,1273,1093,1230,2143,1566
"Scap_LM7D7_a_00271",4806,5619,4346,2043,3367,2678,2731,3727,2552
"Scap_LM7D7_a_00272",8191,10337,8250,14920,21329,18462,12242,13481,11270
"Scap_LM7D7_a_00273",801,1149,896,15465,28616,19226,12618,24769,14921
"Scap_LM7D7_a_00274",4897,6605,7014,21365,27685,21184,17317,31077,23617
"Scap_LM7D7_a_00275",3050,4188,4265,20630,26121,18738,15641,29379,22632
"Scap_LM7D7_a_00276",2052,2869,2852,16408,21825,15730,11549,21095,17005
