"","Scap_PJ_019","Scap_PJ_020","Scap_PJ_021","Scap_PJ_022","Scap_PJ_023","Scap_PJ_024","Scap_PJ_025","Scap_PJ_026","Scap_PJ_027"
"Scap_2C01_ad_00137",4884,4848,4129,4622,3967,4466,4673,5035,4890
"Scap_2C01_ad_00138",2462,2246,2179,5952,5457,7414,4856,5294,4796
"Scap_2C01_ad_00139",480,433,395,1334,1130,1276,1163,1137,1186
"Scap_2C01_ad_00140",536,499,463,1409,1263,1609,1394,1406,1258
"Scap_2C01_ad_00141",611,539,542,1512,1338,1721,1725,1745,1652
"Scap_2C01_ad_00142",1357,1430,1183,2464,2094,2079,2098,2596,2453
"Scap_2C01_ad_00143",298,311,311,271,249,327,294,266,245
"Scap_2C01_ad_00144",99,113,116,64,65,98,132,143,146
"Scap_2C01_ad_00145",1351,1459,1202,3257,2578,2417,8313,9173,10443
"Scap_2C01_ad_00146",9841,9309,8036,18489,15250,16313,61313,69518,67513
"Scap_2C01_ad_00147",53,55,55,85,90,116,243,264,241
"Scap_2C01_ad_00148",544,564,484,832,749,834,1616,1734,1797
"Scap_2C01_ad_00149",1132,1274,999,1532,1434,1544,2686,2818,2798
"Scap_2C01_ad_00150",750,849,648,966,934,885,1891,2040,2003
"Scap_2C01_ad_00151",933,1012,816,1178,1049,1133,2039,2313,2506
"Scap_2C01_ad_00152",203,221,205,302,241,276,573,586,557
"Scap_2C01_ad_00153",1811,1885,1771,2054,1887,2217,4246,4388,4164
"Scap_2C01_ad_00154",1868,2079,1804,1552,1457,1635,2835,3086,2949
"Scap_2C01_ad_00155",3161,3200,2827,6799,6705,9362,10842,11080,9542
"Scap_2C01_ad_00156",1274,1351,1288,3820,3726,5720,6143,5595,4870
"Scap_2C01_ad_00157",2420,2271,2003,1070,950,1251,772,810,907
"Scap_2C01_ad_00158",754,848,897,1794,1552,2535,2694,2617,2166
"Scap_2C01_ad_00159",410,462,446,505,457,552,553,586,578
"Scap_2C01_ad_00160",11447,12239,11149,6555,6231,7835,8674,9835,9570
"Scap_2C01_ad_00161",29758,31150,27657,17203,15979,19548,24204,27700,27938
"Scap_2C01_ad_00162",2734,2546,1918,2113,1546,1775,2233,2553,2691
"Scap_2C01_ad_00163",722,751,567,550,496,650,733,759,757
"Scap_2C01_ad_00164",2390,2792,2511,4653,4029,4712,5511,5897,5439
"Scap_2C01_ad_00165",3525,4066,3549,6364,5311,5569,6749,7625,7706
"Scap_2C01_ad_00166",4850,5032,4297,4752,4171,4814,5606,6075,5985
"Scap_2C01_ad_00167",15342,11906,10655,13323,12534,16338,17587,16212,14951
"Scap_2C01_ad_00168",30571,23565,22243,28329,27648,35755,40492,37355,33695
"Scap_2C01_ad_00169",1365,1158,1063,1631,1597,2320,2666,2451,1974
"Scap_2C01_ad_00170",1032,1000,736,1254,1047,1093,1056,988,960
